,country_name,iso3_code,continent_name,ohfa_factor,country_area,pop_density,emission_factor,climate_zone,m2_area,heating_demand_factor,estimated_floor_area,estimated_emissions
100,Croatia,HRV,Europe,0.54,57078553752.944,7.23e-05,199.4,3.0,5270914810.783,5.2005e-05,34258023.048307896,191834.32210142803
100,Croatia,HRV,Europe,0.54,57078553752.944,7.23e-05,199.4,4.0,23201470281.9,0.00013328,150796689.41829988,2164091.927476391
100,Croatia,HRV,Europe,0.54,57078553752.944,7.23e-05,199.4,5.0,28505212471.721,0.000159993,185268072.2244621,3191688.3486999758
101,Haiti,HTI,North America,0.63,27106745843.699,0.00042132,199.4,1.0,27106745843.699,2.0006e-05,1026661939.4158587,2580200.3510229
102,Hungary,HUN,Europe,0.54,93052876845.048,0.00010496,199.4,5.0,93052876845.048,0.000159993,877994164.1212186,15125562.166249303
103,Indonesia,IDN,Asia,0.56,1890244798355.75,0.00014187,199.4,1.0,1888630886970.26,2.0006e-05,24086608816.268494,53808279.37971727
104,Isle of Man,IMN,Europe,0.54,579672905.423,0.00014565,199.4,4.0,579672905.423,0.00013328,7589820.294687737,108921.9457939702
105,India,IND,Asia,0.56,3152799738556.05,0.00041148,199.4,3.0,9405327129.434,5.2005e-05,347904975.2073181,2020314.2221863563
105,India,IND,Asia,0.56,3152799738556.05,0.00041148,199.4,1.0,1981187749702.92,2.0006e-05,73284540288.27765,163713997.60444522
105,India,IND,Asia,0.56,3152799738556.05,0.00041148,199.4,2.0,1162094598956.91,2.2628e-05,42986117024.4051,108614440.08353725
106,British Indian Ocean Territory,IOT,Seven seas (open ocean),0.0,64447674.169,0.0,199.4,,,,,
107,Ireland,IRL,Europe,0.54,70366727840.59,7.003e-05,199.4,3.0,34268882766.198,5.2005e-05,215735728.16847628,1208053.2816473118
107,Ireland,IRL,Europe,0.54,70366727840.59,7.003e-05,199.4,4.0,36087411401.953,0.00013328,227184061.69327995,3260331.4824633147
